stock_no,name,currency,volume,close
298,CHUANG'S CHINA,HKD,110000,0.44
299,GLORY SUN LAND,HKD,1770000,0.85
302,CMGE,HKD,10254000,3.12
303,VTECH HOLDINGS,HKD,186426,76.65
305,WULING MOTORS,HKD,120000,0.295
306,KWOON CHUNG BUS,HKD,128000,2.94
307,UP ENERGY DEV,HKD,0,
308,CHINA TRAVEL HK,HKD,22848000,1.43
309,XH NEWS MEDIA,HKD,0,0.123
310,PROSP INV HOLD,HKD,2520000,0.025
311,LUEN THAI,HKD,28000,0.69
312,SHIRBLE STORE,HKD,6850922,1.67
313,RICHLY FIELD,HKD,8250000,0.011
315,SMARTONE TELE,HKD,517500,6.07
316,OOIL,HKD,7500,37.7
317,COMEC,HKD,882000,5.97
318,VONGROUP,HKD,0,0.35
320,COMPUTIME,HKD,160000,0.59
321,TEXWINCA HOLD,HKD,748000,1.95
322,TINGYI,HKD,1963338,13.22
323,MAANSHAN IRON,HKD,5856600,3.17
326,CHINA STAR ENT,HKD,522001,1.5
327,PAX GLOBAL,HKD,1224804,3.77
328,ALCO HOLDINGS,HKD,0,0.39
329,OCI INTL,HKD,277300,0.91
330,ESPRIT HOLDINGS,HKD,2155707,1.6
331,FSE SERVICES,HKD,128000,3.82
332,YUANHENG GAS,HKD,6000,0.46
333,TOP FORM INT'L,HKD,14000,1.15
334,CH DISPLAY OPT,HKD,3080000,0.63
335,UPBEST GROUP,HKD,52000,1.01
336,HUABAO INTL,HKD,2073002,2.89
337,GREENLAND HK,HKD,3037000,3.43
338,SHANGHAI PECHEM,HKD,13758612,2.4
339,CORE ECON INV,HKD,0,0.79
340,TONGGUAN GOLD,HKD,218800,0.5
341,CAFE DE CORAL H,HKD,398350,18.68
342,NEWOCEAN ENERGY,HKD,1988000,1.16
343,CULTURECOM HOLD,HKD,130000,0.126
345,VITASOY INT'L,HKD,1776684,28.1
346,YANCHANG PETRO,HKD,4500000,0.054
347,ANGANG STEEL,HKD,14935031,3.2
348,CHINAHEALTHWISE,HKD,810000,0.035
351,ASIA ENERGY LOG,HKD,125020,0.39
352,FORTUNE SUN,HKD,0,0.51
353,ENERGY INTINV,HKD,1640000,0.086
354,CHINASOFT INT'L,HKD,17899135,4.58
356,DT CAPITAL,HKD,0,0.048
357,MEILAN AIRPORT,HKD,222000,5.45
358,JIANGXI COPPER,HKD,5720589,10.88
359,HAISHENG JUICE,HKD,0,0.178
360,NEW FOCUS AUTO,HKD,13912000,0.115
361,SINO GOLF HOLD,HKD,2180000,0.022
362,XINYANG MAOJIAN,HKD,233437,0.325
363,SHANGHAI IND H,HKD,864000,15.12
364,BLOCKCHAIN GP,HKD,0,
365,UNIS HOLDINGS,HKD,2496000,1.8
366,LUKS GROUP (VN),HKD,36000,1.62
367,CHUANG'S INT'L,HKD,83087,1.47
369,WING TAI PPT,HKD,0,5.14
370,CHINA BEST,HKD,1720000,0.18
371,BJ ENT WATER,HKD,5623170,3.97
372,PT INTL DEV,HKD,1896000,0.385
373,ALLIED GROUP,HKD,4000,38.5
374,FOUR SEAS MER,HKD,0,3.3
375,YGM TRADING,HKD,1000,3.82
376,YUNFENG FIN,HKD,308000,3.58
377,HUAJUN INTL GP,HKD,1200,13.78
378,FDG KINETIC,HKD,156000,0.049
379,EG LEASING,HKD,1000000,0.016
380,SOFTPOWER INT,HKD,0,0.163
381,KIU HUNG INT'L,HKD,11450000,0.016
382,EDVANTAGE GROUP,HKD,2168000,4.2
383,CHINA MED&amp;HCARE,HKD,110000,0.15
384,CHINA GAS HOLD,HKD,3962832,29.25
385,CHINNEY ALLI,HKD,0,1.39
386,SINOPEC CORP,HKD,72397123,4.7
387,LEEPORT(HOLD),HKD,0,0.9
388,HKEX,HKD,7135253,260.4
389,TONTINE WINES,HKD,94000,0.128
390,CHINA RAILWAY,HKD,30353000,4.96
391,MEI AH ENTER,HKD,740000,0.18
392,BEIJING ENT,HKD,1609655,36.1
393,GLORIOUS SUN,HKD,492000,0.87
395,SMARTAC GP CH,HKD,76984000,0.151
396,HING LEE (HK),HKD,0,0.18
397,POWER FINANCIAL,HKD,761557,0.09
398,ORIENTAL WATCH,HKD,2090000,2.05
399,INNOVATIVE PHAR,HKD,390000,0.285
400,COGOBUY,HKD,703000,1.35
401,WANJIA GROUP,HKD,45000,0.04
402,PEACEMAP HOLD,HKD,0,
403,STARLITE HOLD,HKD,216000,0.29
405,YUEXIU REIT,HKD,1503000,5.3
406,YAU LEE HOLD,HKD,22000,1.38
408,YIP'S CHEMICAL,HKD,298000,2.41
410,SOHO CHINA,HKD,5280300,2.92
411,LAM SOON (HK),HKD,5000,14.6
412,CHINA SDHS FIN,HKD,4980000,0.24
413,SC HOLDINGS,HKD,40000,0.19
416,BANKOFJINZHOU,HKD,0,
417,TSE SUI LUEN,HKD,90000,1.36
418,FOUNDER HOLD,HKD,360000,0.435
419,HUAYI TENCENT,HKD,4475000,0.11
420,FOUNTAIN SET,HKD,1018000,1.26
422,VMEP HOLDINGS,HKD,73000,0.228
423,HKET HOLDINGS,HKD,16000,1.36
425,MINTH GROUP,HKD,6324008,28.85
426,ONE MEDIA GROUP,HKD,0,0.38
428,COCOON HOLDINGS,HKD,0,0.29
430,ORIENTAL EXPL,HKD,0,0.106
431,G CHINA FIN,HKD,3048000,0.208
432,PCPD,HKD,29000,1.6
433,NORTH MINING,HKD,17550000,0.012
434,BOYAA,HKD,1126000,1.1
435,SUNLIGHT REIT,HKD,357000,5.07
436,NU ENVIRO,HKD,672000,0.25
438,IRICO NEWENERGY,HKD,906000,0.69
439,KUANGCHI,HKD,786000,0.285
440,DAH SING,HKD,118800,30.7
442,HIFOOD GROUP,HKD,0,0.99
444,SINCEREWATCH HK,HKD,1190000,0.146
445,CIMC-TIANDA,HKD,6045000,0.227
449,CHIGO HOLDING,HKD,3080000,0.046
450,HUNG HING PRINT,HKD,516000,1.1
451,GCL NEWENERGY,HKD,33144000,0.162
455,TIANDA PHARMA,HKD,0,0.172
456,NEW CITY DEV,HKD,120000,0.133
458,TRISTATE HOLD,HKD,0,1.67
459,MIDLAND IC&amp;I,HKD,224000,0.111
460,SIHUAN PHARM,HKD,12087000,0.94
